City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
154,ballina,-28.8667,153.5667,24.88,54,93,2.72,AU,1709684098
155,pacocha,-17.5833,-71.3333,22.26,88,43,1.39,PE,1709684382
156,marly-la-ville,49.082,2.5035,6.14,93,75,2.57,FR,1709684382
157,chipinge,-20.1883,32.6236,18.54,82,98,1.68,ZW,1709684154
158,kone,-21.0595,164.8658,29.92,64,99,2.01,NC,1709683811
159,lompoc,34.6391,-120.4579,19.27,66,0,5.66,US,1709683792
160,afaahiti,-17.75,-149.2833,28.93,78,50,4.06,PF,1709683926
161,hermanus,-34.4187,19.2345,16.25,72,12,2.49,ZA,1709683808
162,tolanaro,-25.0319,46.9987,24.37,96,100,1.79,MG,1709684384
163,sandur,15.1,76.55,24.31,46,55,2.34,IN,1709684384
164,essaouira,31.5125,-9.77,14.72,82,98,3.6,MA,1709684385
165,indore,22.7179,75.8333,13.1,62,20,2.06,IN,1709684321
166,medicine hat,50.0501,-110.6683,-10.71,74,100,4.12,CA,1709684101
167,maffra,-37.9667,146.9833,28.64,24,95,2.5,AU,1709684386
168,bredasdorp,-34.5322,20.0403,15.37,72,46,0.55,ZA,1709684386
169,encrucijada,22.6169,-79.8711,24.31,88,75,0.51,CU,1709684386
170,kapa'a,22.0752,-159.319,26.99,65,40,8.75,US,1709684387
171,chernyshevskiy,63.0128,112.4714,-28.9,100,99,0.73,RU,1709684033
172,whitehorse,60.7161,-135.0538,-7.21,45,75,6.17,CA,1709684387
173,cambui,-22.6122,-46.0575,19.91,92,90,0.67,BR,1709684387
174,college,64.8569,-147.8028,-1.42,63,75,1.54,US,1709684158
175,colonia,50.9333,6.95,6.62,89,75,1.03,DE,1709684149
176,kailua-kona,19.6406,-155.9956,26.98,70,75,5.66,US,1709684157
177,karachayevsk,43.774,41.9142,4.08,67,94,1.65,RU,1709684388
178,atafu village,-8.5421,-172.5159,29.36,71,7,5.12,TK,1709683813
179,alofi,-19.0595,-169.9187,29.94,70,40,7.2,NU,1709683968
180,leiyang,26.4024,112.8591,8.72,86,100,1.69,CN,1709684389
181,port macquarie,-31.4333,152.9167,26.05,61,53,3.23,AU,1709683880
182,yazihan,38.5947,38.18,11.15,58,75,5.14,TR,1709684389
183,itamaraju,-17.0392,-39.5311,24.67,87,86,2.46,BR,1709684390
184,thompson,55.7435,-97.8558,-16.7,96,100,1.0,CA,1709683822
185,lebu,-37.6167,-73.65,14.13,88,42,6.8,CL,1709683812
186,obu,35.0,136.9667,9.98,89,100,2.07,JP,1709684390
187,tazovsky,67.4667,78.7,-15.47,94,100,6.7,RU,1709684390
188,mount isa,-20.7333,139.5,31.87,58,40,4.63,AU,1709683911
189,antsiranana,-12.2787,49.2917,25.0,92,41,3.25,MG,1709683859
190,thabazimbi,-24.5917,27.4116,23.71,43,30,0.45,ZA,1709684391
191,tindouf,27.6711,-8.1474,18.25,15,0,2.06,DZ,1709684391
192,la'ie,21.6477,-157.9253,26.98,65,15,4.47,US,1709683830
193,kavieng,-2.5744,150.7967,29.03,70,95,1.14,PG,1709684098
194,kalmunai,7.4167,81.8167,23.84,84,99,2.46,LK,1709683762
195,savanna-la-mar,18.219,-78.1332,26.97,86,62,0.65,JM,1709684398
196,piton saint-leu,-21.2196,55.3151,24.06,89,75,1.54,RE,1709684398
197,mangrol,21.1167,70.1167,19.15,27,4,5.13,IN,1709684398
198,manay,7.215,126.5397,27.53,72,97,2.55,PH,1709684398
199,enewetak,11.3474,162.3373,26.24,81,81,10.92,MH,1709684399
200,susuman,62.7833,148.1667,-22.23,95,94,1.34,RU,1709684399
201,olonkinbyen,70.9221,-8.7187,0.68,96,81,4.32,SJ,1709684399
202,west bay,19.3667,-81.4167,27.04,81,20,3.6,KY,1709684052
203,nova sintra,14.8667,-24.7167,19.5,74,33,9.3,CV,1709684400
204,east london,-33.0153,27.9116,18.7,58,20,5.33,ZA,1709684400
205,nadi,-17.8,177.4167,31.92,56,57,2.24,FJ,1709684030
206,yeppoon,-23.1333,150.7333,28.88,66,84,9.51,AU,1709684400
207,northam,51.0333,-4.2167,4.1,86,4,2.22,GB,1709684121
208,trujillo,-8.116,-79.03,22.98,88,40,2.57,PE,1709684401
209,tarfaya,27.9358,-12.9218,17.26,84,77,8.48,MA,1709684401
210,hammerfest,70.6634,23.6821,0.25,80,42,1.03,NO,1709684088
211,sovetskoye,52.2861,85.4131,-9.62,93,100,1.7,RU,1709684402
212,hargeysa,9.56,44.065,21.12,42,18,4.81,SO,1709684116
213,magong,23.5654,119.5863,24.5,99,37,4.27,TW,1709684403
